"","Site","Habitat","Temp","Chlorophyll","Turbidity","Depth","Salinity","Fish_Abundance"
"1","Site_1","Seagrass",22.8157225729244,2.83615684027345,8.91292742120984,8.41741005311242,32.9384449524563,48.3395971105474
"2","Site_2","Seagrass",25.8028301971229,3.54820848741437,10.4361657036803,7.14342276612769,33.5441856931034,41.995019610509
"3","Site_3","Seagrass",27.7677662403447,6.48998439488489,12.6665822604675,5.91275241913056,35.2744501607291,59.8560570108105
"4","Site_4","Seagrass",24.2755039201958,1.73164075476477,11.3353704689189,4.45936625503232,34.9328674345055,49.3215605418453
"5","Site_5","Seagrass",25.0222959013808,4.08236096892306,11.1751229383903,8.63847981470102,33.4171917247588,49.1905890561508
"6","Site_6","Seagrass",28.232954079418,5.64055975996268,12.3208456748507,1.13855802724007,36.9446197430907,44.7444395310349
"7","Site_7","Seagrass",27.031752701692,4.00445187094182,11.145175635634,10.484943082672,29.8641782535014,60.0114842102301
"8","Site_8","Seagrass",22.5546148229841,0.797440954881973,6.96791755074153,7.58023365580805,32.8807928707672,56.7671790248617
"9","Site_9","Seagrass",24.3803480813975,2.19183163156216,9.99802833523889,4.75921611243025,37.8544872987254,49.4904073319347
"10","Site_10","Seagrass",23.6093840426278,2.22248343664622,8.77826103818884,2.65200039850286,36.2903421386106,41.6469813975632
"11","Site_11","Seagrass",27.6626089044605,3.53587213780537,14.736250720705,4.45115182668014,37.1236360560668,47.8837597770388
"12","Site_12","Seagrass",25.3949417426239,4.3841608534767,8.55846206576022,5.16529496935745,33.7554074778988,53.8221239286083
"13","Site_13","Seagrass",25.8961264293617,4.10741517941897,10.0443724843319,5.0251200089635,36.5547567994351,51.4030850246075
"14","Site_14","Seagrass",24.3260020739127,2.93357726342299,11.1564799092288,3.91422982256555,35.8754013988425,52.2011191996532
"15","Site_15","Seagrass",22.5775161971639,2.11763046848935,9.77839735412328,2.00397565636846,38.3648288127002,41.9911714404792
"16","Site_16","Seagrass",30.5710396583541,6.350482291614,11.9729924589866,6.11995506082242,33.6220791761191,61.4643119139921
"17","Site_17","Seagrass",26.5964097801309,4.11715032937363,9.55063882669483,4.17109107236012,36.3615301588974,44.6977263984074
"18","Site_18","Seagrass",19.8154943251158,1.10093528404414,7.22344511070838,3.38837836598018,37.4753703097331,33.8090401265291
"19","Site_19","Seagrass",25.791545886447,4.04339024388116,11.0348649565452,4.30470089200378,35.4871428674417,54.9885901437332
"20","Site_20","Seagrass",22.8689370999468,2.31704084997438,7.14247540369123,7.96299596394971,32.7162273610046,56.7346788484669
"21","Site_21","Seagrass",25.06316293691,2.24630120229277,8.43972572158035,5.82472512880229,35.2017809521601,33.7347938183522
"22","Site_22","Seagrass",25.8764631471169,3.66182617699199,9.9013140068435,5.9344465294111,34.4843865946114,52.0959096653477
"23","Site_23","Seagrass",22.6828460466892,2.29845510342733,8.67066500391735,0.441283470666457,36.8246081608436,42.4683464322875
"24","Site_24","Seagrass",24.0854116006498,1.11052778621639,7.64064270494007,4.64952450181281,36.5840424695005,39.6080656532841
"25","Site_25","Seagrass",23.3355815163826,3.87741204816417,9.63380103218927,5.82477316790154,32.878860447588,51.9805997437529
"26","Site_26","Seagrass",21.1503664838996,0.0306529115938389,9.12424419823747,5.75398722884275,34.5590030994952,40.3169688537132
"27","Site_27","Seagrass",25.8869712511388,6.37486852479701,11.8041642505576,6.92365736561717,35.3427721373584,58.875118015396
"28","Site_28","Seagrass",24.7121289682135,1.92516892607502,8.86735351230556,3.3924440908839,36.7400061540423,50.7430785986378
